Month-Year,SENADOR,VALOR_REEMBOLSADO,Contagem_Mes
2009-06-01,ANTÔNIO CARLOS VALADARES,17000.0,3
2009-06-01,ARTHUR VIRGÍLIO,15400.0,3
2009-06-01,AUGUSTO BOTELHO,8542.21,3
2009-06-01,CRISTOVAM BUARQUE,6516.17,3
2009-06-01,CÉSAR BORGES,15886.33,3
2009-06-01,CÍCERO LUCENA,14947.6,3
2009-06-01,DELCIDIO DO AMARAL,14985.46,3
2009-06-01,DEMÓSTENES TORRES,15000.0,3
2009-06-01,EDUARDO AZEREDO,16446.829999999998,3
2009-06-01,EDUARDO SUPLICY,2484.3,3
2009-06-01,EFRAIM MORAIS,2238.0,3
2009-06-01,ELISEU RESENDE,12459.67,3
2009-06-01,EPITÁCIO CAFETEIRA,10572.93,3
2009-06-01,EXPEDITO JUNIOR,22789.45,3
2009-06-01,FERNANDO COLLOR,14956.28,3
2009-06-01,FLEXA RIBEIRO,14920.64,3
2009-06-01,FLÁVIO ARNS,9061.43,3
2009-06-01,FRANCISCO DORNELLES,13477.73,3
2009-06-01,FÁTIMA CLEIDE,14906.07,3
2009-06-01,GARIBALDI ALVES FILHO,12199.36,3
2009-06-01,GERALDO MESQUITA JÚNIOR,16250.02,3
2009-06-01,GERSON CAMATA,6009.53,3
2009-06-01,GILBERTO GOELLNER,9595.35,3
2009-06-01,GILVAM BORGES,15000.0,3
2009-06-01,GIM ARGELLO,2000.0,3
2009-06-01,HERÁCLITO FORTES,9351.03,3
2009-06-01,IDELI SALVATTI,14226.82,3
2009-06-01,INÁCIO ARRUDA,19673.31,3
2009-06-01,JARBAS VASCONCELOS,13757.35,3
2009-06-01,JAYME CAMPOS,22090.89,3
2009-06-01,JOSÉ AGRIPINO,11753.64,3
2009-06-01,JOSÉ NERY,14937.6,3
2009-06-01,JOSÉ SARNEY,5000.0,3
2009-06-01,JOÃO DURVAL,12012.33,3
2009-06-01,JOÃO PEDRO,9110.42,3
2009-06-01,JOÃO RIBEIRO,15500.0,3
2009-06-01,JOÃO VICENTE CLAUDINO,14920.65,3
2009-06-01,KÁTIA ABREU,15000.0,3
2009-06-01,LEOMAR QUINTANILHA,181.99,3
2009-06-01,LOBÃO FILHO,14700.0,3
2009-06-01,LÚCIA VÂNIA,15023.89,3
2009-06-01,MAGNO MALTA,13924.349999999999,3
2009-06-01,MARCELO CRIVELLA,11694.39,3
2009-06-01,MARCONI PERILLO,10099.84,3
2009-06-01,MARIA DO CARMO ALVES,5040.75,3
2009-06-01,MARINA SILVA,4736.540000000001,3
2009-06-01,MARISA SERRANO,15534.19,3
2009-06-01,MOZARILDO CAVALCANTI,17272.7,3
2009-06-01,MÁRIO COUTO,13223.37,3
2009-06-01,MÃO SANTA,14974.83,3
2009-06-01,NEUTO DE CONTO,12511.78,3
2009-06-01,OSMAR DIAS,17277.670000000002,3
2009-06-01,PAPALÉO PAES,7817.58,3
2009-06-01,PATRÍCIA SABOYA GOMES,13129.130000000001,3
2009-06-01,PAULO DUQUE,10839.63,3
2009-06-01,PAULO PAIM,8012.42,3
2009-06-01,RAIMUNDO COLOMBO,14536.4,3
2009-06-01,RENAN CALHEIROS,6041.72,3
2009-06-01,RENATO CASAGRANDE,10486.18,3
2009-06-01,ROBERTO CAVALCANTI,2500.0,3
2009-06-01,ROMERO JUCÁ,12702.19,3
2009-06-01,ROMEU TUMA,5444.0,3
2009-06-01,ROSALBA CIARLINI,14420.3,3
2009-06-01,SERYS SLHESSARENKO,13895.35,3
2009-06-01,SÉRGIO GUERRA,13700.869999999999,3
2009-06-01,SÉRGIO ZAMBIASI,6938.9,3
2009-06-01,TASSO JEREISSATI,1320.0,2
2009-06-01,TIÃO VIANA,10143.95,3
2009-06-01,VALDIR RAUPP,21861.98,3
2009-06-01,VALTER PEREIRA,15960.43,3
2009-06-01,WELLINGTON SALGADO DE OLIVEIRA,8270.22,3
2009-07-01,ADELMIR SANTANA,167.73,4
2009-07-01,ALMEIDA LIMA,24664.28,4
2009-07-01,ALOIZIO MERCADANTE,10477.85,4
2009-07-01,ANTONIO CARLOS JUNIOR,16666.47,4
2009-07-01,ANTÔNIO CARLOS VALADARES,14320.0,4
2009-07-01,ARTHUR VIRGÍLIO,15680.0,4
2009-07-01,AUGUSTO BOTELHO,18690.309999999998,4
2009-07-01,CRISTOVAM BUARQUE,10164.45,4
2009-07-01,CÉSAR BORGES,15306.44,4
2009-07-01,CÍCERO LUCENA,14964.55,4
2009-07-01,DELCIDIO DO AMARAL,14986.3,4
2009-07-01,DEMÓSTENES TORRES,15000.0,4
2009-07-01,EDUARDO AZEREDO,15043.29,4
2009-07-01,EDUARDO SUPLICY,2505.12,4
2009-07-01,EFRAIM MORAIS,16436.56,4
2009-07-01,ELISEU RESENDE,12634.71,4
2009-07-01,EPITÁCIO CAFETEIRA,10497.02,4
2009-07-01,EXPEDITO JUNIOR,15000.0,4
2009-07-01,FERNANDO COLLOR,15417.800000000001,4
2009-07-01,FLEXA RIBEIRO,14940.15,4
2009-07-01,FLÁVIO ARNS,7283.83,4
2009-07-01,FLÁVIO TORRES,3630.6400000000003,1
